,PopulationSize,ChromosomeLength,ElitismFactor,Iteration,GeneticIterations
884,3,10,18,4,3475
885,3,10,18,5,986
886,3,10,18,6,759
887,3,10,18,7,3416
888,3,10,18,8,475
889,3,10,18,9,998
890,3,10,19,0,2
891,3,10,19,1,850
892,3,10,19,2,653
893,3,10,19,3,125
894,3,10,19,4,283
895,3,10,19,5,386
896,3,10,19,6,419
897,3,10,19,7,2190
898,3,10,19,8,317
899,3,10,19,9,406
900,3,11,10,0,786
901,3,11,10,1,1411
902,3,11,10,2,3149
903,3,11,10,3,800
904,3,11,10,4,3878
905,3,11,10,5,2106
906,3,11,10,6,3609
907,3,11,10,7,3841
908,3,11,10,8,761
909,3,11,10,9,487
910,3,11,11,0,2357
911,3,11,11,1,5110
912,3,11,11,2,1067
913,3,11,11,3,1052
914,3,11,11,4,1385
915,3,11,11,5,518
916,3,11,11,6,357
917,3,11,11,7,53
918,3,11,11,8,283
919,3,11,11,9,166
920,3,11,12,0,669
921,3,11,12,1,3472
922,3,11,12,2,1034
923,3,11,12,3,2344
924,3,11,12,4,1224
925,3,11,12,5,707
926,3,11,12,6,149
927,3,11,12,7,675
928,3,11,12,8,2093
929,3,11,12,9,683
930,3,11,13,0,977
931,3,11,13,1,1357
932,3,11,13,2,18
933,3,11,13,3,437
934,3,11,13,4,3435
935,3,11,13,5,1939
936,3,11,13,6,706
937,3,11,13,7,85
938,3,11,13,8,665
939,3,11,13,9,2448
940,3,11,14,0,44
941,3,11,14,1,589
942,3,11,14,2,5
943,3,11,14,3,1911
944,3,11,14,4,1268
945,3,11,14,5,291
946,3,11,14,6,1594
947,3,11,14,7,377
948,3,11,14,8,2018
949,3,11,14,9,1953
950,3,11,15,0,68
951,3,11,15,1,668
952,3,11,15,2,3433
953,3,11,15,3,1335
954,3,11,15,4,2410
955,3,11,15,5,1
956,3,11,15,6,289
957,3,11,15,7,310
958,3,11,15,8,752
959,3,11,15,9,1254
960,3,11,16,0,823
961,3,11,16,1,74
962,3,11,16,2,2967
963,3,11,16,3,3090
964,3,11,16,4,1549
965,3,11,16,5,2088
966,3,11,16,6,2430
967,3,11,16,7,2225
968,3,11,16,8,80
969,3,11,16,9,552
970,3,11,17,0,281
971,3,11,17,1,3122
972,3,11,17,2,3025
973,3,11,17,3,821
974,3,11,17,4,2161
975,3,11,17,5,2306
976,3,11,17,6,2969
977,3,11,17,7,2071
978,3,11,17,8,313
979,3,11,17,9,304
980,3,11,18,0,50
981,3,11,18,1,584
982,3,11,18,2,124
983,3,11,18,3,640
984,3,11,18,4,1176
985,3,11,18,5,3520
986,3,11,18,6,447
987,3,11,18,7,140
988,3,11,18,8,1286
989,3,11,18,9,3602
990,3,11,19,0,1230
991,3,11,19,1,214
992,3,11,19,2,554
993,3,11,19,3,861
994,3,11,19,4,2053
995,3,11,19,5,344
996,3,11,19,6,774
997,3,11,19,7,1510
998,3,11,19,8,4199
999,3,11,19,9,785
1000,3,12,10,0,1173
1001,3,12,10,1,2491
1002,3,12,10,2,7
1003,3,12,10,3,1143
1004,3,12,10,4,2662
1005,3,12,10,5,7984
1006,3,12,10,6,4675
1007,3,12,10,7,1244
1008,3,12,10,8,1139
1009,3,12,10,9,516
1010,3,12,11,0,345
1011,3,12,11,1,7374
1012,3,12,11,2,3358
1013,3,12,11,3,2557
1014,3,12,11,4,5349
1015,3,12,11,5,675
1016,3,12,11,6,1900
1017,3,12,11,7,4481
1018,3,12,11,8,3893
1019,3,12,11,9,2686
1020,3,12,12,0,2341
1021,3,12,12,1,1810
1022,3,12,12,2,1730
1023,3,12,12,3,148
1024,3,12,12,4,1809
1025,3,12,12,5,4844
1026,3,12,12,6,12678
1027,3,12,12,7,3658
1028,3,12,12,8,639
1029,3,12,12,9,324
1030,3,12,13,0,365
1031,3,12,13,1,200
1032,3,12,13,2,1655
1033,3,12,13,3,358
1034,3,12,13,4,272
1035,3,12,13,5,660
1036,3,12,13,6,731
1037,3,12,13,7,565
1038,3,12,13,8,1872
1039,3,12,13,9,4853
1040,3,12,14,0,342
1041,3,12,14,1,2167
1042,3,12,14,2,2940
1043,3,12,14,3,3193
1044,3,12,14,4,1621
1045,3,12,14,5,7776
1046,3,12,14,6,2400
1047,3,12,14,7,1580
1048,3,12,14,8,1955
1049,3,12,14,9,79
1050,3,12,15,0,1051
1051,3,12,15,1,6316
1052,3,12,15,2,294
1053,3,12,15,3,229
1054,3,12,15,4,5355
1055,3,12,15,5,2054
1056,3,12,15,6,1104
1057,3,12,15,7,490
1058,3,12,15,8,4366
1059,3,12,15,9,2433
1060,3,12,16,0,2073
1061,3,12,16,1,109
1062,3,12,16,2,5308
1063,3,12,16,3,274
1064,3,12,16,4,965
1065,3,12,16,5,64
1066,3,12,16,6,4567
1067,3,12,16,7,3374
1068,3,12,16,8,4922
1069,3,12,16,9,375
1070,3,12,17,0,402
1071,3,12,17,1,658
1072,3,12,17,2,2283
1073,3,12,17,3,110
1074,3,12,17,4,3248
1075,3,12,17,5,3291
1076,3,12,17,6,3281
1077,3,12,17,7,2667
1078,3,12,17,8,986
1079,3,12,17,9,1680
1080,3,12,18,0,473
1081,3,12,18,1,79
1082,3,12,18,2,2729
1083,3,12,18,3,2018
1084,3,12,18,4,277
1085,3,12,18,5,3638
1086,3,12,18,6,1574
1087,3,12,18,7,2979
1088,3,12,18,8,212
1089,3,12,18,9,4142
1090,3,12,19,0,652
1091,3,12,19,1,1256
1092,3,12,19,2,591
1093,3,12,19,3,909
1094,3,12,19,4,279
1095,3,12,19,5,5921
1096,3,12,19,6,2538
1097,3,12,19,7,2814
1098,3,12,19,8,875
1099,3,12,19,9,2335
1100,3,13,10,0,2867
1101,3,13,10,1,1626
1102,3,13,10,2,421
1103,3,13,10,3,9574
1104,3,13,10,4,1960
